suite,starting_avg_fun_score,best_trial_id,best_avg_fun_score,fun_score_improvement,percent_improvement
arena.blackHole,0.581,arena-blackHole.1.3.2.2.3.1,0.649,0.068,11.8
arena.blackMole,0.565,arena-blackMole.1.3.2.2.3.2,0.643,0.078,13.7
arena.ceres,0.610,arena-ceres.1.3.2.1.3.2,0.628,0.018,3.0
arena.divots,0.570,arena-divots.1.2.2.2.3.3,0.645,0.076,13.3
arena.drinkMe,0.602,arena-drinkMe.1.1.2.2.3.1,0.626,0.024,4.0
arena.fogOfWar,0.611,arena-fogOfWar.1.2.2.3.3.2,0.626,0.015,2.4
arena.gopher,0.582,arena-gopher.1.1.2.3.3.2,0.610,0.028,4.8
arena.ireland,0.612,arena-ireland.1.3.2.3.3.1,0.649,0.037,6.0
arena.jupiter,0.595,arena-jupiter.1.1.2.2.3.3,0.631,0.036,6.1
arena.madHatter,0.616,arena-madHatter.1.1.2.1.3.2,0.649,0.034,5.4
arena.minesweeper,0.593,arena-minesweeper.1.2.2.3.3.3,0.632,0.039,6.6
arena.russianRoulette,0.625,arena-russianRoulette.1.2.2.1.3.2,0.633,0.009,1.4
arena.searchLight,0.578,arena-searchLight.1.2.2.3.3.1,0.635,0.057,9.8
arena.secondChances,0.627,arena-secondChances.1.2.2.3.3.2,0.625,-0.002,-0.3
arena.spaceInvaders,0.601,arena-spaceInvaders.1.3.2.2.3.1,0.626,0.025,4.2
arena.superMassive,0.623,arena-superMassive.1.3.2.2.3.2,0.636,0.013,2.1
arena.teaParty,0.600,arena-teaParty.1.2.2.3.3.1,0.640,0.040,6.7
arena.threeBodyProblem,0.603,arena-threeBodyProblem.1.3.2.3.3.2,0.644,0.042,6.9
arena.vortex,0.614,arena-vortex.1.3.2.2.3.1,0.628,0.014,2.3
arena.whiteDwarf,0.586,arena-whiteDwarf.1.2.2.1.3.1,0.631,0.044,7.6
arena.wonderland,0.621,arena-wonderland.1.3.2.1.3.3,0.622,0.000,0.1
arena.wormhole,0.559,arena-wormhole.1.1.2.2.3.3,0.628,0.068,12.2
ball.bumShuffle,0.582,ball-bumShuffle.1.2.2.1.3.3,0.629,0.047,8.0
ball.kite,0.598,ball-kite.1.3.2.3.3.1,0.623,0.025,4.2
ball.meteor,0.555,ball-meteor.1.1.2.2.3.2,0.632,0.077,13.9
ball.pollok,0.587,ball-pollok.1.3.2.2.3.2,0.624,0.037,6.4
ball.snowball,0.613,ball-snowball.1.3.2.3.3.3,0.692,0.079,12.9
paddle.angry,0.602,paddle-angry.1.1.2.1.3.3,0.684,0.082,13.5
paddle.apparition,0.592,paddle-apparition.1.1.2.1.3.3,0.676,0.083,14.1
paddle.bendy,0.592,paddle-bendy.1.1.2.3.3.3,0.648,0.056,9.4
paddle.brokePhysics,0.573,paddle-brokePhysics.1.1.2.2.3.3,0.686,0.113,19.7
paddle.buckTooth,0.559,paddle-buckTooth.1.2.2.3.3.3,0.663,0.104,18.7
paddle.bungee,0.592,paddle-bungee.1.1.2.1.3.2,0.659,0.067,11.3
paddle.charlotte,0.409,paddle-charlotte.1.2.2.2.3.1,0.420,0.011,2.6
paddle.chilly,0.611,paddle-chilly.1.1.2.1.3.3,0.683,0.072,11.7
paddle.crabby,0.531,paddle-crabby.1.1.2.1.3.1,0.639,0.108,20.3
paddle.dizzy,0.584,paddle-dizzy.1.1.2.1.3.1,0.668,0.084,14.3
paddle.dundee,0.575,paddle-dundee.1.1.2.1.3.1,0.628,0.053,9.2
paddle.foosball,0.571,paddle-foosball.1.1.2.1.3.2,0.687,0.116,20.4
paddle.frisbee,0.591,paddle-frisbee.1.2.2.2.3.1,0.645,0.055,9.2
paddle.hadron,0.659,paddle-hadron.1.1.2.2.3.2,0.723,0.064,9.7
paddle.inchworm,0.595,paddle-inchworm.1.1.2.1.3.1,0.671,0.076,12.7
paddle.missileCommander,0.594,paddle-missileCommander.1.3.2.3.3.3,0.646,0.052,8.7
paddle.osteoWhat,0.558,paddle-osteoWhat.1.2.2.1.3.2,0.680,0.122,21.9
paddle.outOfBody,0.543,paddle-outOfBody.1.2.2.1.3.3,0.641,0.098,18.1
paddle.slinky,0.612,paddle-slinky.1.1.2.1.3.1,0.695,0.082,13.5
